year,Km_travelled,fuel_type,city,assembly,engine,body_type,interior_scores,exterior_scores,comfort_scores,company,price
2025,11084,5.0,0.0,1.0,1500,8.0,2.0,0.0,2.0,15.0,0.9
2019,58000,5.0,2.0,1.0,1300,8.0,1.0,1.0,1.0,15.0,0.38
2022,24000,2.0,1.0,0.0,660,8.0,2.0,2.0,2.0,30.0,0.38
2007,162000,5.0,1.0,1.0,1800,8.0,2.0,2.0,1.0,15.0,0.24
2002,110000,5.0,1.0,1.0,1300,8.0,1.0,2.0,1.0,15.0,0.12
2017,120000,2.0,0.0,0.0,1800,2.0,2.0,2.0,0.0,39.0,0.69
2019,65000,5.0,4.0,0.0,660,3.0,2.0,2.0,0.0,15.0,0.34
2024,21000,5.0,2.0,1.0,1300,8.0,1.0,2.0,1.0,39.0,0.45
2020,25000,5.0,3.0,0.0,1000,2.0,2.0,2.0,0.0,39.0,0.65
2020,13000,5.0,3.0,0.0,1000,2.0,2.0,2.0,0.0,39.0,0.61
2020,27000,5.0,3.0,0.0,4600,7.0,2.0,0.0,0.0,39.0,4.0
2017,47000,5.0,2.0,1.0,1300,8.0,1.0,2.0,1.0,39.0,0.42
2016,59000,5.0,2.0,1.0,1800,8.0,2.0,1.0,1.0,15.0,0.4
2015,64527,2.0,2.0,0.0,1500,2.0,1.0,1.0,2.0,15.0,0.49
2012,89000,5.0,2.0,0.0,2400,8.0,2.0,1.0,2.0,15.0,0.52
2022,26000,5.0,2.0,0.0,1600,2.0,0.0,0.0,2.0,4.0,0.77
2018,46000,5.0,2.0,1.0,1800,8.0,2.0,0.0,2.0,15.0,0.53
2022,26000,5.0,2.0,1.0,2000,2.0,0.0,2.0,2.0,23.0,0.65
2023,38000,5.0,2.0,1.0,2000,2.0,0.0,2.0,2.0,23.0,0.68
2007,197000,2.0,0.0,0.0,1500,8.0,2.0,1.0,2.0,39.0,0.29
2016,260000,2.0,0.0,0.0,1500,3.0,2.0,1.0,2.0,39.0,0.42
2023,2975,2.0,3.0,0.0,660,8.0,0.0,2.0,0.0,29.0,0.39
2022,157000,2.0,1.0,0.0,1500,2.0,0.0,2.0,0.0,15.0,0.58
2005,279000,5.0,2.0,0.0,4700,7.0,2.0,2.0,0.0,39.0,1.2
1990,100000,5.0,4.0,0.0,1500,8.0,1.0,1.0,1.0,39.0,0.14
2021,12000,5.0,1.0,1.0,1000,6.0,1.0,1.0,2.0,3.0,0.3
2014,180000,2.0,0.0,0.0,1500,3.0,2.0,2.0,1.0,39.0,0.36
2017,115000,5.0,0.0,1.0,1800,8.0,2.0,0.0,2.0,15.0,0.57
2019,70000,5.0,1.0,1.0,1300,8.0,2.0,2.0,1.0,39.0,0.5
2013,90000,2.0,2.0,0.0,1500,2.0,0.0,2.0,0.0,15.0,0.42
2022,46000,5.0,2.0,1.0,1500,8.0,0.0,0.0,2.0,15.0,0.84
2019,90000,5.0,1.0,1.0,1300,8.0,2.0,2.0,1.0,15.0,0.39
2012,185000,2.0,1.0,0.0,1800,8.0,2.0,2.0,2.0,39.0,0.42
2006,178885,5.0,4.0,0.0,1600,8.0,2.0,1.0,1.0,37.0,0.17
2014,131000,5.0,2.0,0.0,1500,6.0,2.0,1.0,2.0,15.0,0.37
2021,24900,5.0,0.0,1.0,1598,8.0,2.0,2.0,1.0,39.0,0.6
2009,74000,5.0,2.0,1.0,1800,8.0,2.0,1.0,1.0,15.0,0.28
2015,65000,5.0,2.0,1.0,1800,8.0,2.0,0.0,2.0,39.0,0.41
2021,97594,5.0,1.0,1.0,2000,2.0,0.0,0.0,2.0,23.0,0.67
2014,64000,2.0,2.0,0.0,1500,2.0,0.0,2.0,0.0,15.0,0.46
2016,63928,5.0,2.0,0.0,2700,7.0,1.0,2.0,0.0,39.0,1.95
2014,90000,2.0,2.0,0.0,1800,8.0,2.0,1.0,2.0,39.0,0.51
2016,75529,5.0,2.0,0.0,4600,7.0,1.0,2.0,2.0,39.0,3.75
2010,85151,5.0,2.0,0.0,2700,7.0,2.0,2.0,2.0,39.0,1.45
2007,90000,5.0,2.0,0.0,4600,7.0,0.0,2.0,2.0,39.0,1.87
2019,34000,5.0,1.0,1.0,1500,4.0,2.0,2.0,2.0,15.0,0.48
2016,72000,5.0,1.0,0.0,2700,7.0,2.0,2.0,2.0,39.0,1.86
2014,145000,5.0,0.0,0.0,660,8.0,2.0,1.0,2.0,15.0,0.27
2000,175000,5.0,1.0,1.0,1600,8.0,1.0,2.0,1.0,15.0,0.14
1994,89818,5.0,0.0,1.0,1300,8.0,2.0,1.0,1.0,37.0,0.09
2015,49000,2.0,1.0,0.0,3000,7.0,0.0,2.0,0.0,32.0,1.99
2004,185000,5.0,2.0,1.0,1600,8.0,1.0,2.0,1.0,15.0,0.15
2007,212000,2.0,1.0,0.0,1500,8.0,2.0,1.0,1.0,39.0,0.28
2013,140000,5.0,1.0,1.0,1800,8.0,2.0,2.0,2.0,15.0,0.36
2018,61000,5.0,2.0,1.0,1300,8.0,2.0,2.0,1.0,39.0,0.4
2005,302876,5.0,1.0,1.0,1300,8.0,2.0,2.0,1.0,15.0,0.17
2026,117,5.0,3.0,1.0,1200,4.0,2.0,1.0,2.0,3.0,0.3
2015,125000,2.0,1.0,0.0,1500,2.0,0.0,1.0,0.0,15.0,0.45
1993,455000,5.0,0.0,0.0,1500,8.0,1.0,2.0,1.0,7.0,0.06
2018,100000,5.0,1.0,1.0,1300,8.0,2.0,2.0,1.0,39.0,0.39
2019,91000,5.0,0.0,0.0,1400,8.0,2.0,1.0,2.0,0.0,1.29
2006,153000,5.0,0.0,0.0,1300,8.0,1.0,1.0,1.0,39.0,0.27
2010,188000,5.0,0.0,1.0,1800,8.0,2.0,2.0,1.0,15.0,0.27
2023,20000,5.0,1.0,1.0,1500,8.0,0.0,0.0,2.0,15.0,0.87
2002,100000,5.0,1.0,0.0,3400,7.0,2.0,2.0,1.0,39.0,0.65
2018,78000,5.0,2.0,1.0,1300,8.0,1.0,1.0,1.0,15.0,0.36
2026,1,5.0,3.0,0.0,3500,7.0,0.0,0.0,0.0,39.0,9.0
2003,75495,5.0,0.0,1.0,1300,8.0,2.0,1.0,1.0,37.0,0.19
2026,1,5.0,3.0,0.0,3500,7.0,0.0,0.0,0.0,25.0,13.5
2015,151000,2.0,2.0,0.0,1500,2.0,0.0,2.0,0.0,15.0,0.42
2020,130000,2.0,3.0,0.0,1500,2.0,2.0,2.0,2.0,15.0,0.71
2024,16000,5.0,2.0,1.0,2000,8.0,1.0,2.0,2.0,17.0,0.67
2016,84000,5.0,0.0,1.0,1800,8.0,2.0,2.0,2.0,15.0,0.5
2004,229000,5.0,1.0,1.0,1300,8.0,1.0,2.0,1.0,37.0,0.13
2018,163000,5.0,0.0,1.0,1800,8.0,2.0,0.0,2.0,15.0,0.49
2022,8400,5.0,1.0,1.0,1800,8.0,0.0,0.0,2.0,39.0,0.72
2022,55000,5.0,0.0,0.0,660,3.0,1.0,2.0,1.0,39.0,0.34
2016,170000,2.0,1.0,0.0,1500,2.0,0.0,1.0,0.0,15.0,0.53
2021,108000,5.0,0.0,1.0,2000,7.0,2.0,0.0,0.0,17.0,0.74
2023,19000,5.0,2.0,1.0,1200,2.0,0.0,2.0,2.0,31.0,0.56
2012,125610,2.0,0.0,0.0,1800,8.0,2.0,1.0,0.0,39.0,0.46
2024,17000,5.0,1.0,1.0,2000,2.0,0.0,0.0,2.0,23.0,0.8
2015,96000,5.0,2.0,1.0,1300,8.0,1.0,1.0,1.0,15.0,0.28
2009,114000,5.0,1.0,1.0,1300,8.0,1.0,2.0,1.0,39.0,0.26
2011,115000,5.0,1.0,0.0,1800,8.0,2.0,0.0,0.0,28.0,1.03
2015,92000,2.0,1.0,0.0,1500,2.0,0.0,2.0,0.0,15.0,0.51
2023,33808,2.0,1.0,1.0,1500,7.0,0.0,0.0,2.0,14.0,0.94
2020,66000,5.0,3.0,0.0,2700,7.0,2.0,0.0,0.0,39.0,2.67
2020,45600,5.0,3.0,0.0,1000,2.0,2.0,2.0,0.0,39.0,0.62
2021,41000,5.0,2.0,1.0,1800,8.0,2.0,0.0,2.0,39.0,0.64
2026,100,6.0,3.0,1.0,1500,7.0,0.0,0.0,0.0,10.0,1.13
2019,86823,5.0,1.0,1.0,1300,8.0,1.0,2.0,1.0,39.0,0.42
2011,156000,5.0,2.0,1.0,1300,8.0,1.0,2.0,1.0,39.0,0.23
2008,55000,5.0,0.0,0.0,2500,8.0,2.0,2.0,1.0,39.0,0.52
2020,48000,5.0,3.0,0.0,1000,2.0,2.0,1.0,2.0,39.0,0.6
2006,76000,5.0,0.0,1.0,1300,8.0,2.0,2.0,1.0,15.0,0.27
2004,98500,5.0,2.0,1.0,1500,8.0,2.0,2.0,1.0,15.0,0.16
2022,65000,5.0,0.0,0.0,1600,2.0,1.0,1.0,2.0,4.0,0.78
2014,180000,5.0,1.0,1.0,1300,8.0,1.0,2.0,1.0,39.0,0.03
2017,100000,2.0,2.0,0.0,1500,8.0,2.0,1.0,0.0,39.0,0.58
2024,21700,5.0,2.0,1.0,1500,8.0,2.0,2.0,2.0,15.0,0.83
2015,95000,5.0,2.0,1.0,1800,8.0,2.0,2.0,2.0,39.0,0.4
1998,200000,5.0,1.0,1.0,1600,8.0,1.0,2.0,1.0,39.0,0.17
2010,225000,5.0,1.0,1.0,1300,8.0,1.0,1.0,1.0,15.0,0.25
2016,76600,5.0,0.0,1.0,1500,8.0,2.0,1.0,1.0,15.0,0.37
2019,110000,5.0,0.0,1.0,1300,8.0,2.0,2.0,1.0,39.0,0.5
2020,8692,5.0,3.0,0.0,1000,2.0,2.0,1.0,1.0,39.0,0.57
2025,6000,2.0,1.0,1.0,1500,7.0,0.0,0.0,0.0,14.0,1.32
2021,4000,5.0,3.0,0.0,1000,2.0,2.0,2.0,0.0,39.0,0.68
2020,32143,5.0,3.0,0.0,660,7.0,1.0,1.0,1.0,37.0,0.46
2020,68000,5.0,0.0,1.0,1800,8.0,2.0,0.0,2.0,15.0,0.61
2021,39000,5.0,0.0,1.0,2000,2.0,0.0,0.0,0.0,23.0,0.68
2014,128450,5.0,0.0,1.0,1300,8.0,1.0,2.0,1.0,39.0,0.33
2019,115000,5.0,1.0,1.0,1600,8.0,2.0,1.0,1.0,39.0,0.52
2024,12000,5.0,2.0,1.0,2000,7.0,0.0,0.0,0.0,17.0,0.86
2022,48000,5.0,2.0,1.0,2000,2.0,0.0,2.0,2.0,23.0,0.58
2002,83500,5.0,2.0,1.0,1600,8.0,1.0,1.0,1.0,15.0,0.18
2022,37435,5.0,1.0,1.0,2000,2.0,0.0,0.0,0.0,23.0,0.72
2014,82000,5.0,1.0,1.0,1300,8.0,2.0,1.0,1.0,39.0,0.36
2021,54000,5.0,2.0,1.0,1800,8.0,2.0,0.0,2.0,15.0,0.64
2017,110000,5.0,1.0,1.0,1500,8.0,2.0,1.0,1.0,15.0,0.37
2000,159000,5.0,2.0,0.0,1800,8.0,1.0,2.0,2.0,15.0,0.17
2025,6500,5.0,0.0,1.0,1500,8.0,0.0,0.0,2.0,15.0,1.03
2010,170000,5.0,1.0,1.0,1300,8.0,1.0,2.0,1.0,39.0,0.28
2014,111592,5.0,1.0,1.0,1600,8.0,1.0,2.0,1.0,39.0,0.37
2023,63702,5.0,0.0,1.0,1500,2.0,2.0,2.0,2.0,15.0,0.65
2026,13,5.0,3.0,1.0,1500,7.0,0.0,0.0,2.0,14.0,0.99
2014,113000,5.0,1.0,0.0,660,3.0,2.0,1.0,2.0,30.0,0.23
2013,148000,5.0,1.0,1.0,1300,8.0,1.0,2.0,1.0,15.0,0.29
