year,price,Km_travelled,fuel_type,transmission,city,color,assembly,engine,body_type,interior_scores,exterior_scores,safety_scores,comfort_scores,company
2011,0.25,197000,Petrol,Manual,Punjab,other,Local,1300,Sedan,19,9,27,13,Honda
2023,0.44,11970,Petrol,Automatic,Un-Registered,White,Imported,660,Hatchback,0,6,27,13,Mitsubishi
2017,0.56,87501,Hybrid,Automatic,Islamabad,Black,Imported,1500,Crossover,7,6,27,19,Honda
2008,0.34,206399,Diesel,Manual,Islamabad,Blue,Local,2000,Sedan,14,3,27,13,Toyota
2021,0.53,89000,Petrol,Automatic,Punjab,White,Local,1600,Sedan,18,6,33,13,Toyota
2020,2.75,60000,Petrol,Automatic,Punjab,Black,Imported,2700,SUV,11,13,39,44,Toyota
2022,0.65,25500,Petrol,Automatic,Sindh,Black,Local,1500,SUV,18,23,62,45,Proton
2007,0.32,159000,Petrol,Automatic,Sindh,Blue,Imported,1500,Sedan,23,20,45,31,Toyota
2012,0.03,202000,Petrol,Manual,Punjab,other,Local,1300,Sedan,19,9,23,8,Toyota
2006,0.45,105000,Petrol,Automatic,Sindh,Black,Local,2400,Sedan,18,9,34,29,Toyota
2002,0.15,187000,Petrol,Automatic,Sindh,Silver,Local,1600,Sedan,10,6,17,8,Honda
2021,0.64,58000,Petrol,Automatic,Punjab,Black,Imported,1500,Crossover,34,30,62,50,MG
2017,0.41,165000,Petrol,Automatic,Punjab,White,Local,1300,Sedan,14,0,17,13,Toyota
2003,0.36,200000,Diesel,Automatic,Sindh,Silver,Imported,3000,SUV,10,9,40,8,Toyota
2015,0.12,53000,Petrol,Manual,Punjab,other,Local,800,Mini Van,10,0,6,0,Suzuki
2008,0.25,140000,Petrol,Automatic,Punjab,other,Local,1800,Sedan,14,17,27,13,Honda
2006,0.24,149087,Petrol,Automatic,Sindh,Silver,Imported,1500,Sedan,14,9,33,13,Toyota
1997,0.4,200000,Diesel,Automatic,Punjab,other,Imported,3000,SUV,14,9,21,13,Toyota
2017,0.43,80234,Hybrid,Automatic,Punjab,Black,Imported,1500,Hatchback,18,9,45,29,Toyota
2020,0.55,26900,Petrol,Automatic,Punjab,Blue,Imported,1000,Crossover,32,20,62,45,Daihatsu
2021,2.95,35000,Petrol,Automatic,Punjab,Grey,Local,1500,Sedan,34,23,58,42,Mercedes-Benz
2003,0.23,150000,Petrol,Automatic,Islamabad,Black,Local,1600,Sedan,14,3,13,8,Toyota
2015,0.32,86000,Petrol,Manual,Islamabad,White,Local,1300,Sedan,10,9,27,13,Honda
2022,0.8,125000,Petrol,Automatic,Punjab,White,Local,1800,Sedan,18,21,40,35,Honda
2017,0.58,98000,Hybrid,Automatic,Sindh,White,Imported,1500,Crossover,34,9,50,38,Honda
2014,0.33,87000,Petrol,Manual,Sindh,White,Local,1300,Sedan,7,0,6,4,Toyota
2022,0.72,32000,Petrol,Automatic,Sindh,Black,Local,2000,Crossover,7,14,27,19,KIA
2016,0.37,112000,Petrol,Automatic,Sindh,other,Local,1600,Sedan,14,9,33,13,Toyota
2019,0.84,95000,Hybrid,Automatic,Sindh,Black,Imported,1800,Crossover,18,13,50,38,Toyota
1990,0.33,182000,Diesel,Automatic,Sindh,White,Imported,2500,SUV,0,0,3,2,Mitsubishi
